"ID","MOTHER","FATHER"
338,76,144
339,76,4247
340,76,4247
342,4168,4274
343,4246,212
344,4168,4274
345,4168,4274
346,38,4403
347,38,4403
348,38,4403
351,4290,4275
352,4290,4275
353,4290,4275
354,4290,4275
355,4290,4304
356,51,24
357,51,24
358,51,4229
359,51,4229
360,4447,4477
361,4447,4477
362,4447,4477
363,4447,4477
364,48,46
365,48,46
366,48,46
367,48,46
369,4178,110
370,4178,110
371,4178,110
372,4178,110
373,4178,110
374,4434,4158
375,4434,4415
378,91,4295
383,4376,4478
384,4376,4478
385,4376,4478
386,4376,4478
389,122,4503
390,122,4503
392,4500,4264
393,4500,4264
394,4500,4264
395,4500,4264
397,4436,4230
398,4436,4230
399,4436,4230
400,4436,4230
402,60,4419
403,60,4406
404,60,4419
406,28,4325
407,28,4325
409,28,4325
411,206,126
412,206,4274
413,206,126
414,206,126
416,4217,4326
417,4217,4326
418,4217,4326
419,4217,4326
421,34,4153
422,34,4429
423,4504,4464
424,34,4153
425,32,4229
426,32,104
427,32,104
428,32,104
429,32,4229
430,4504,4464
431,4504,4464
432,4504,4464
433,4504,4464
434,4501,4418
435,4501,4418
436,4501,4418
437,4501,4418
438,4333,129
439,4333,129
440,4333,129
441,4333,129
442,4177,4467
443,4177,4467
444,4177,4304
445,4177,4304
447,4468,20
448,4468,22
449,4468,20
450,4468,22
451,4213,4467
452,4213,16
453,4213,16
454,4213,16
455,4213,16
456,123,4303
457,123,4303
458,123,4303
459,123,4303
460,170,4463
461,170,4463
463,4177,4304
464,170,4463
465,4277,4247
466,4277,4247
467,4277,4247
468,4277,4247
469,4497,4282
470,4497,4282
471,4497,4282
473,4291,4417
474,4291,4417
475,4291,4415
476,4291,4417
574,4291,4417
575,41,115
576,41,11
577,41,115
578,41,11
579,41,11
580,4290,4275
581,4290,4275
582,4290,4275
583,4290,4275
584,4290,4275
585,4168,4274
586,4168,4274
587,4168,4274
588,4168,4274
589,4168,4274
590,4420,114
591,4420,114
592,4420,114
593,4420,114
594,91,4295
595,91,4295
596,91,4295
599,51,24
600,51,24
601,51,24
602,51,24
603,38,4403
604,38,4403
605,38,4403
606,38,4403
607,38,4403
608,48,46
609,48,46
610,48,46
611,48,46
612,4,44
613,4,44
614,45,55
615,45,55
616,4376,4478
617,4376,4478
618,29,4478
619,29,4503
620,29,4503
621,29,4503
622,28,4325
623,28,4325
624,28,4325
625,4436,4230
626,4436,4230
627,4436,4230
628,4436,4230
629,4377,4412
630,4377,4412
631,4377,4412
633,4217,4435
634,4217,4435
635,4217,4435
637,206,4153
638,206,4265
641,4468,4467
642,4468,4467
643,4468,4467
644,4468,4467
645,123,4303
646,123,4303
647,123,4303
649,4504,4464
650,4504,4464
653,4290,4275
654,4290,4275
655,4290,4275
656,4290,4275
658,4177,4304
659,4177,4304
660,4177,4304
661,4177,4304
662,34,4153
663,34,4153
664,34,4153
665,34,4153
666,4501,4418
667,4501,4418
670,4447,4477
671,4447,4477
677,4434,4158
678,4434,4415
679,4434,4415
680,4443,4435
691,4500,4264
692,4500,4264
693,4500,4264
694,4500,4264
697,4434,4415
698,4434,4415
699,4434,4415
700,4434,4415
701,4434,4415
703,76,4247
704,76,145
705,76,145
708,4168,4429
709,4168,4429
713,4497,4265
714,4497,4265
715,4497,4265
717,222,4282
718,4246,4415
719,4246,115
720,4246,4158
721,4246,4158
725,4500,24
726,4213,4274
729,4447,4477
730,4447,4477
731,4465,4229
733,4,44
1099,60,24
1100,4468,4467
1102,207,110
1103,106,4464
4383,38,4403
4387,4376,4478
4388,4497,4265
515,91,115
517,123,4303
518,123,4303
519,123,4303
520,586,285
521,586,285
522,586,285
523,586,285
524,353,422
525,353,422
526,353,422
527,353,422
528,253,417
529,253,417
530,253,417
531,371,4230
532,371,602
533,371,4230
534,438,11
535,438,11
536,438,11
537,601,645
538,601,645
539,601,645
540,419,4415
541,419,4415
542,419,4415
543,419,4415
544,284,4403
545,284,4403
546,284,4403
547,284,4403
548,649,626
549,649,626
550,649,626
551,4290,11
552,4290,104
553,4290,4275
554,4290,4275
555,206,663
556,206,178
557,206,178
558,206,178
559,206,663
560,646,4413
561,646,4413
562,646,4413
563,646,4413
564,4273,4153
565,4273,4435
566,4273,4435
567,4273,4153
568,4273,4153
569,4424,4423
570,4424,590
