Year,BirdID,BirdID_Year,Annual_Number_Broods,Annual_Number_Eggs,Annual_Hatchlings,Annual_Fledgelings_Genetic,AnnFledgeRaised,Age,Survival_CurrentYear,Genetic_Recruits,eti,sti,fti,pti,Sex
2003,602,602Y2003,1,5,3,0,0,1,1,0,1,0.001459702,-0.01016578,-0.008706079,1
2004,602,602Y2004,3,11,9,2,0,2,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,602,602Y2005,4,15,14,2,4,3,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2003,626,626Y2003,3,12,10,5,5,1,1,2,3,0.001459702,0.004326973,0.005786675,1
2003,645,645Y2003,2,5,3,2,2,1,1,1,2,0.001459702,-0.002919404,-0.001459702,1
2004,650,650Y2004,4,20,16,0,2,2,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,650,650Y2005,3,10,13,4,6,3,1,1,2,0.003108639,0.001690663,0.004799302,1
2006,650,650Y2006,3,12,11,7,7,4,1,1,2,0.005402231,0.003405755,0.008807986,1
2004,660,660Y2004,1,3,0,0,0,2,0,0,0,-0.00367215,-0.003701528,-0.007373678,1
2003,661,661Y2003,1,5,3,2,2,1,1,1,2,0.001459702,-0.002919404,-0.001459702,1
2004,661,661Y2004,3,9,10,5,7,2,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,661,661Y2005,4,20,10,4,5,3,1,0,1,0.003108639,-0.003544939,-0.0004363,1
2006,661,661Y2006,2,9,7,2,3,4,1,1,2,0.005402231,0.003405755,0.008807986,1
2007,661,661Y2007,3,15,2,0,0,5,0,0,0,-0.002553626,-0.003319714,-0.00587334,1
2003,663,663Y2003,3,11,11,10,9,1,1,1,2,0.001459702,-0.002919404,-0.001459702,1
2004,663,663Y2004,4,15,15,2,3,2,0,0,0,-0.00367215,-0.003701528,-0.007373678,1
2003,725,725Y2003,1,4,4,2,2,1,1,1,2,0.001459702,-0.002919404,-0.001459702,1
2004,725,725Y2004,3,15,14,2,5,2,1,1,2,0.001762632,0.001733255,0.003495887,1
2005,725,725Y2005,2,10,10,5,5,3,1,7,8,0.003108639,0.033104276,0.036212914,1
2006,725,725Y2006,1,4,4,0,0,4,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2004,765,765Y2004,2,8,7,2,3,1,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,765,765Y2005,5,17,9,2,4,2,1,0,1,0.003108639,-0.003544939,-0.0004363,1
2004,818,818Y2004,2,8,7,3,2,1,1,3,4,0.001762632,0.01260282,0.014365452,1
2005,818,818Y2005,5,17,18,6,6,2,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2004,822,822Y2004,2,8,8,5,5,1,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2004,823,823Y2004,1,4,4,0,1,1,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,823,823Y2005,4,17,15,5,6,2,1,1,2,0.003108639,0.001690663,0.004799302,1
2006,823,823Y2006,4,17,16,4,3,3,0,1,1,-0.002290076,0.003405755,0.001115678,1
2004,831,831Y2004,3,12,9,1,4,1,0,0,0,-0.00367215,-0.003701528,-0.007373678,1
2004,902,902Y2004,2,8,6,1,0,1,1,2,3,0.001762632,0.007168038,0.00893067,1
2005,902,902Y2005,2,8,8,5,5,2,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2004,957,957Y2004,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,1
2004,959,959Y2004,1,0,2,0,0,1,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,959,959Y2005,3,13,13,8,6,2,1,1,2,0.003108639,0.001690663,0.004799302,1
2006,959,959Y2006,2,8,7,5,4,3,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2004,962,962Y2004,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1
2005,962,962Y2005,2,6,6,2,0,2,1,2,3,0.003108639,0.006926265,0.010034904,1
2006,962,962Y2006,2,5,6,2,2,3,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2004,971,971Y2004,2,7,4,3,1,1,0,0,0,-0.00367215,-0.003701528,-0.007373678,1
2005,974,974Y2005,3,4,10,7,6,2,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2004,984,984Y2004,2,7,0,0,0,1,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2006,984,984Y2006,1,5,4,2,2,3,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2005,993,993Y2005,4,16,10,3,4,2,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2004,1038,1038Y2004,3,13,9,2,5,1,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,1038,1038Y2005,3,15,6,5,1,2,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2004,1043,1043Y2004,1,4,0,0,0,1,0,0,0,-0.00367215,-0.003701528,-0.007373678,1
2004,1053,1053Y2004,3,5,7,0,2,1,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,1053,1053Y2005,3,14,14,3,4,2,0,3,3,-0.002126963,0.012161867,0.010034904,1
2004,1095,1095Y2004,3,12,7,4,6,1,1,1,2,0.001762632,0.001733255,0.003495887,1
2005,1095,1095Y2005,4,13,15,6,0,2,1,0,1,0.003108639,-0.003544939,-0.0004363,1
2006,1095,1095Y2006,2,4,0,0,0,3,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2004,1099,1099Y2004,1,3,1,1,1,2,0,0,0,-0.00367215,-0.003701528,-0.007373678,1
2004,1103,1103Y2004,1,4,0,0,0,2,0,0,0,-0.00367215,-0.003701528,-0.007373678,1
2005,1210,1210Y2005,2,8,5,0,4,NA,NA,NA,NA,NA,NA,NA,1
2006,1210,1210Y2006,2,8,8,2,2,NA,NA,NA,NA,NA,NA,NA,1
2005,1226,1226Y2005,4,18,9,4,2,1,1,1,2,0.003108639,0.001690663,0.004799302,1
2006,1226,1226Y2006,1,3,3,0,0,2,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2005,1227,1227Y2005,3,15,9,3,4,1,1,0,1,0.003108639,-0.003544939,-0.0004363,1
2006,1227,1227Y2006,3,10,8,3,2,2,0,1,1,-0.002290076,0.003405755,0.001115678,1
2005,1343,1343Y2005,1,4,0,0,0,1,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2005,1353,1353Y2005,3,14,13,3,5,1,1,1,2,0.003108639,0.001690663,0.004799302,1
2006,1353,1353Y2006,1,4,4,0,0,2,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2005,1438,1438Y2005,1,5,1,0,0,1,1,1,2,0.003108639,0.001690663,0.004799302,1
2005,1448,1448Y2005,4,16,14,5,6,1,1,0,1,0.003108639,-0.003544939,-0.0004363,1
2006,1448,1448Y2006,1,4,4,0,0,2,1,0,1,0.005402231,-0.004286553,0.001115678,1
2005,1464,1464Y2005,3,13,12,3,3,1,1,1,2,0.003108639,0.001690663,0.004799302,1
2006,1464,1464Y2006,2,9,6,6,5,2,0,2,2,-0.002290076,0.011098062,0.008807986,1
2005,1500,1500Y2005,2,8,8,3,4,1,0,2,2,-0.002126963,0.006926265,0.004799302,1
2005,1569,1569Y2005,3,14,13,8,5,1,1,1,2,0.003108639,0.001690663,0.004799302,1
2006,1569,1569Y2006,3,7,7,7,7,2,1,5,6,0.005402231,0.034174985,0.039577217,1
2006,1697,1697Y2006,2,10,9,0,0,2,1,0,1,0.005402231,-0.004286553,0.001115678,1
2007,1697,1697Y2007,6,28,19,5,4,3,1,1,2,0.00881001,0.008043922,0.016853933,1
2005,1717,1717Y2005,4,20,10,2,2,1,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2005,1738,1738Y2005,2,9,4,1,3,1,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2005,1898,1898Y2005,1,4,4,1,0,1,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2005,1906,1906Y2005,1,5,5,3,2,1,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2005,1929,1929Y2005,2,7,6,0,2,1,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2005,1935,1935Y2005,4,18,16,5,10,1,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2005,1954,1954Y2005,2,3,1,1,1,1,1,0,1,0.003108639,-0.003544939,-0.0004363,1
2006,1954,1954Y2006,2,4,6,4,4,2,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2005,1956,1956Y2005,1,5,4,3,3,1,1,0,1,0.003108639,-0.003544939,-0.0004363,1
2006,1956,1956Y2006,1,4,0,0,0,2,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2005,1970,1970Y2005,2,9,7,4,4,1,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2005,2012,2012Y2005,2,8,5,2,5,2,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2005,2018,2018Y2005,7,34,30,9,8,2,1,4,5,0.003108639,0.017397469,0.020506108,1
2006,2018,2018Y2006,1,4,3,0,0,3,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2006,2053,2053Y2006,3,12,6,6,7,1,0,2,2,-0.002290076,0.011098062,0.008807986,1
2006,2173,2173Y2006,1,4,3,0,0,1,1,0,1,0.005402231,-0.004286553,0.001115678,1
2007,2173,2173Y2007,3,14,13,6,7,2,0,0,0,-0.002553626,-0.003319714,-0.00587334,1
2006,2187,2187Y2006,2,6,4,1,1,1,0,1,1,-0.002290076,0.003405755,0.001115678,1
2006,2202,2202Y2006,2,8,5,3,4,1,1,0,1,0.005402231,-0.004286553,0.001115678,1
2007,2202,2202Y2007,4,19,15,7,7,2,1,1,2,0.00881001,0.008043922,0.016853933,1
2008,2202,2202Y2008,3,15,8,7,7,3,0,6,6,-0.028985507,0.130434783,0.101449275,1
