"femID","Female_total_EPO_clutches","BroodName","femaleCohort","SocialDadID","FWPO","FEPO","FTO","FPercentEP","F_EPP_brood","F_total_Brood_number","F_total_Partner_number","Number_Broods_with_Partner","F_Percent_clutch_EP","Sex","Age","Dam","maleCohort","BroodRef","maleID","EventDate","male_brood_WPO","male_brood_EPO","Male_Year_WPO","Male_Year_EPO","M_EPP_Year","M_EPP_brood"
122,7,"E157",2005,1448,4,1,5,0.2,1,8,8,3,0.875,"0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,7,"E229",2005,1448,0,3,3,1,1,8,8,3,0.875,"0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,1,"B013",2002,4303,4,0,4,0,0,4,4,4,0.25,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,1,"B048",2002,4303,4,0,4,0,0,4,4,4,0.25,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,1,"B071",2002,4303,3,0,3,0,0,4,4,4,0.25,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,1,"C026",2003,4303,1,2,3,0.666666666666667,1,4,4,4,0.25,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,1,"B015",2002,4463,3,2,5,0.4,1,2,2,2,0.5,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,1,"B049",2002,4463,3,0,3,0,0,2,2,2,0.5,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"B011",2002,126,2,1,3,0.333333333333333,1,17,17,2,0.411764705882353,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"B038",2002,126,3,1,4,0.25,1,17,17,2,0.411764705882353,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"C036",2003,663,3,0,3,0,0,17,17,7,0.411764705882353,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"C088",2003,663,2,3,5,0.6,1,17,17,7,0.411764705882353,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"C123",2003,663,3,0,3,0,0,17,17,7,0.411764705882353,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"D002",2004,663,1,0,1,0,0,17,17,7,0.411764705882353,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"D068",2004,663,5,0,5,0,0,17,17,7,0.411764705882353,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"D119",2004,663,2,0,2,0,0,17,17,7,0.411764705882353,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"D161",2004,663,2,3,5,0.6,1,17,17,7,0.411764705882353,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"E012",2005,2018,3,0,3,0,0,17,17,5,0.411764705882353,"0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"E081",2005,2018,4,1,5,0.2,1,17,17,5,0.411764705882353,"0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"E156",2005,2018,2,0,2,0,0,17,17,5,0.411764705882353,"0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"E196",2005,2018,6,0,6,0,0,17,17,5,0.411764705882353,"0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"F010",2006,2018,2,1,3,0.333333333333333,1,17,17,5,0.411764705882353,"0",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"F041",2006,2906,3,1,4,0.25,1,17,17,1,0.411764705882353,"0",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"F091",2006,2661,4,0,4,0,0,17,17,2,0.411764705882353,"0",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7,"F126",2006,2661,5,0,5,0,0,17,17,2,0.411764705882353,"0",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,0,"C008",2003,417,2,0,2,0,0,3,3,3,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,0,"C080",2003,417,3,0,3,0,0,3,3,3,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,0,"C116",2003,417,3,0,3,0,0,3,3,3,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,6,"C003",2003,4230,3,0,3,0,0,9,9,1,0.666666666666667,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,6,"C046",2003,129,3,0,3,0,0,9,9,1,0.666666666666667,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,6,"D056",2004,132,2,2,4,0.5,1,9,9,2,0.666666666666667,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,6,"D142",2004,132,2,1,3,0.333333333333333,1,9,9,2,0.666666666666667,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,6,"E077",2005,1448,2,1,3,0.333333333333333,1,9,9,1,0.666666666666667,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,6,"E148",2005,650,4,1,5,0.2,1,9,9,4,0.666666666666667,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,6,"F025",2006,650,1,1,2,0.5,1,9,9,4,0.666666666666667,"0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,6,"F058",2006,650,3,1,4,0.25,1,9,9,4,0.666666666666667,"0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,6,"F104",2006,650,5,0,5,0,0,9,9,4,0.666666666666667,"0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,0,"C042",2003,4275,2,0,2,0,0,6,6,1,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,0,"C085",2003,4403,4,0,4,0,0,6,6,1,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,0,"C094",2003,4464,3,0,3,0,0,6,6,1,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,0,"D031",2004,456,2,0,2,0,0,6,6,3,0,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,0,"D082",2004,456,4,0,4,0,0,6,6,3,0,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,0,"D139",2004,456,4,0,4,0,0,6,6,3,0,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,0,"C041",2003,363,4,0,4,0,0,2,2,1,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,0,"C101",2003,457,4,0,4,0,0,2,2,1,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,5,"C013",2003,4326,1,0,1,0,0,11,11,4,0.454545454545455,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,5,"C056",2003,4326,2,2,4,0.5,1,11,11,4,0.454545454545455,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,5,"C107",2003,4326,3,2,5,0.4,1,11,11,4,0.454545454545455,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,5,"D065",2004,4326,4,0,4,0,0,11,11,4,0.454545454545455,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,5,"D114",2004,4422,2,1,3,0.333333333333333,1,11,11,3,0.454545454545455,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,5,"D157",2004,4422,4,0,4,0,0,11,11,3,0.454545454545455,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,5,"D207",2004,4422,0,3,3,1,1,11,11,3,0.454545454545455,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,5,"E038",2005,993,3,0,3,0,0,11,11,4,0.454545454545455,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,5,"E126",2005,993,3,1,4,0.25,1,11,11,4,0.454545454545455,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,5,"E208",2005,993,3,0,3,0,0,11,11,4,0.454545454545455,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,5,"E243",2005,993,3,0,3,0,0,11,11,4,0.454545454545455,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
